지점코드,지점명,측정항목,2026년1월,2026년2월,2026년3월,2026년4월,2026년5월,2026년6월,2026년7월,2026년8월,2026년9월,2026년 10월,2026년11월,2026년12월
1001A10,송천4,아연(Zn),,,,,,,,,,,,
1001A13,골지천1,음이온계면활성제(ABS),,,,,,,,,,,,
1001A13,골지천1,조류,,,,,,,,,,,,
1001A13,골지천1,유량,,,,,,,,,,,,
1001A13,골지천1,안티몬(Sb),,,,,,,,,,,,
1001A13,골지천1,비소(As),,,,,,,,,,,,
1001A13,골지천1,바륨(Ba),,,,,,,,,,,,
1001A13,골지천1,벤젠,,,,,,,,,,,,
1001A13,골지천1,생물화학적산소요구량(BOD),0.9,0.7,0.5,0.8,,,,,,,,
1001A13,골지천1,사염화탄소,,,,,,,,,,,,
1001A13,골지천1,카드뮴(Cd),,,,,,,,,,,,
1001A13,골지천1,클로로포름,,,,,,,,,,,,
1001A13,골지천1,염소이온(Cl-),,,,,,,,,,,,
1001A13,골지천1,클로로필-a(Chlorophyll-a),,,,,,,,,,,,
1001A13,골지천1,시안(CN),,,,,,,,,,,,
1001A13,골지천1,화학적산소요구량(COD),1.4,1.4,2,2.2,,,,,,,,
1001A13,골지천1,색도,,,,,,,,,,,,
1001A13,골지천1,크롬(Cr),,,,,,,,,,,,
1001A13,골지천1,6가크롬(Cr6+),,,,,,,,,,,,
1001A13,골지천1,구리(Cu),,,,,,,,,,,,
1001A13,골지천1,"1,2,-다이클로로에탄",,,,,,,,,,,,
1001A13,골지천1,다이클로로메탄,,,,,,,,,,,,
1001A13,골지천1,다이에틸헥실프탈레이트(DEHP),,,,,,,,,,,,
1001A13,골지천1,"1,4-다이옥세인",,,,,,,,,,,,
1001A13,골지천1,용존산소(DO),13.8,13.7,12.9,11.1,,,,,,,,
1001A13,골지천1,용존총질소(DTN),,,,,,,,,,,,
1001A13,골지천1,용존총인(DTP),,,,,,,,,,,,
1001A13,골지천1,전기전도도(EC),340,303,363,270,,,,,,,,
1001A13,골지천1,분원성대장균군,,,,,,,,,,,,
1001A13,골지천1,용해성 철(Fe),,,,,,,,,,,,
1001A13,골지천1,불소(F),,,,,,,,,,,,
1001A13,골지천1,헥사클로로벤젠,,,,,,,,,,,,
1001A13,골지천1,포름알데히드,,,,,,,,,,,,
1001A13,골지천1,수은(Hg),,,,,,,,,,,,
1001A13,골지천1,수위,0.12,0.13,0.23,0.37,,,,,,,,
1001A13,골지천1,용해성 망간(Mn),,,,,,,,,,,,
1001A13,골지천1,암모니아성 질소(NH3-N),,,,,,,,,,,,
1001A13,골지천1,노말헥산추출물질,,,,,,,,,,,,
1001A13,골지천1,니켈(Ni),,,,,,,,,,,,
1001A13,골지천1,질산성질소(NO3-N),,,,,,,,,,,,
1001A13,골지천1,유기인,,,,,,,,,,,,
1001A13,골지천1,납(Pb),,,,,,,,,,,,
1001A13,골지천1,폴리클로리네이티드비페닐(PCB),,,,,,,,,,,,
1001A13,골지천1,테트라클로로에틸렌(PCE),,,,,,,,,,,,
1001A13,골지천1,수소이온농도(pH),8.8,8.8,8.8,9.1,,,,,,,,
1001A13,골지천1,페놀류(phenols),,,,,,,,,,,,
1001A13,골지천1,인산염 인(PO4-P),,,,,,,,,,,,
1001A13,골지천1,셀레늄(Se),,,,,,,,,,,,
1001A13,골지천1,부유물질(SS),0.2,0.2,0.2,0.7,,,,,,,,
1001A13,골지천1,트리클로로에틸렌(TCE),,,,,,,,,,,,
1001A13,골지천1,총대장균군,,,,,,,,,,,,
1001A13,골지천1,수온,3.6,2.7,6.1,13.8,,,,,,,,
1001A13,골지천1,총질소(T-N),5.655,5.121,5.016,3.995,,,,,,,,
1001A13,골지천1,총유기탄소(TOC),0.9,0.7,1,1.1,,,,,,,,
1001A13,골지천1,총인(T-P),0.051,0.003,0.013,0.013,,,,,,,,
1001A13,골지천1,투명도,,,,,,,,,,,,
1001A13,골지천1,아연(Zn),,,,,,,,,,,,
1001A15,골지천2,음이온계면활성제(ABS),,,0,,,,,,,,,
1001A15,골지천2,조류,,,,,,,,,,,,
1001A15,골지천2,유량,,,,,,,,,,,,
1001A15,골지천2,안티몬(Sb),,,0,,,,,,,,,
1001A15,골지천2,비소(As),,,0,,,,,,,,,
1001A15,골지천2,바륨(Ba),,,,,,,,,,,,
1001A15,골지천2,벤젠,,,,,,,,,,,,
1001A15,골지천2,생물화학적산소요구량(BOD),0.7,2.1,2.6,1.1,,,,,,,,
1001A15,골지천2,사염화탄소,,,,,,,,,,,,
1001A15,골지천2,카드뮴(Cd),,,0,,,,,,,,,
1001A15,골지천2,클로로포름,,,,,,,,,,,,
1001A15,골지천2,염소이온(Cl-),,,,,,,,,,,,
1001A15,골지천2,클로로필-a(Chlorophyll-a),0.2,2.8,1.6,0.8,,,,,,,,
1001A15,골지천2,시안(CN),,,0,,,,,,,,,
1001A15,골지천2,화학적산소요구량(COD),1.2,1.6,2.6,1.3,,,,,,,,
1001A15,골지천2,색도,,,,,,,,,,,,
1001A15,골지천2,크롬(Cr),,,,,,,,,,,,
1001A15,골지천2,6가크롬(Cr6+),,,0,,,,,,,,,
1001A15,골지천2,구리(Cu),,,,,,,,,,,,
1001A15,골지천2,"1,2,-다이클로로에탄",,,,,,,,,,,,
1001A15,골지천2,다이클로로메탄,,,,,,,,,,,,
1001A15,골지천2,다이에틸헥실프탈레이트(DEHP),,,,,,,,,,,,
1001A15,골지천2,"1,4-다이옥세인",,,,,,,,,,,,
1001A15,골지천2,용존산소(DO),11.9,13,12.6,10.1,,,,,,,,
1001A15,골지천2,용존총질소(DTN),5.569,4.901,5.06,4.196,,,,,,,,
1001A15,골지천2,용존총인(DTP),0.002,0.005,0.002,0.003,,,,,,,,
1001A15,골지천2,전기전도도(EC),327,329,390,283,,,,,,,,
1001A15,골지천2,분원성대장균군,0,1,1,0,,,,,,,,
1001A15,골지천2,용해성 철(Fe),,,,,,,,,,,,
1001A15,골지천2,불소(F),,,,,,,,,,,,
1001A15,골지천2,헥사클로로벤젠,,,,,,,,,,,,
1001A15,골지천2,포름알데히드,,,,,,,,,,,,
1001A15,골지천2,수은(Hg),,,0,,,,,,,,,
